iter	RMSE
0	0.6263024467
1	0.568599425
2	0.5159346456
3	0.4694999557
4	0.4272059092
5	0.3895634692
6	0.3561442719
7	0.3264077464
8	0.2994871797
9	0.275943453
10	0.2548075112
11	0.2363381534
12	0.2193743241
13	0.2042924469
14	0.190343673
15	0.1784740464
16	0.1681946534
17	0.1588234775
18	0.150274157
19	0.1427618965
20	0.1361382993
21	0.1302035938
22	0.125144232
23	0.1205491536
24	0.1165038001
25	0.1127723088
26	0.1095399432
27	0.1066372308
28	0.104136192
29	0.1018430731
30	0.09967675591
31	0.09768363652
32	0.09587389524
33	0.09441310389
34	0.09314901294
35	0.09196648227
36	0.09087173526
37	0.08979878707
38	0.08894103262
39	0.08811958398
40	0.08706349877
41	0.08641228225
42	0.0857070633
43	0.08504392312
44	0.08437933182
45	0.08371416063
46	0.08322406304
47	0.08268655512
48	0.08229024121
49	0.0818947857
50	0.08155002159
51	0.0810462472
52	0.08072319554
53	0.08044128344
54	0.08014679246
55	0.07996578526
56	0.07957466027
57	0.0792924104
58	0.0790044889
59	0.07881590412
60	0.07866085296
61	0.07857646571
62	0.07830282365
63	0.07804826932
64	0.07790607876
65	0.0778388872
66	0.0777761128
67	0.07771411383
68	0.07765623089
69	0.07742841599
70	0.07723309541
71	0.07707410791
72	0.07692379987
73	0.07688258001
74	0.07677130383
75	0.07673464809
76	0.0766276414
77	0.07650610062
78	0.07638063825
79	0.07635122562
80	0.07622099837
81	0.07619478176
82	0.07611775066
83	0.07609996142
84	0.07605363143
85	0.07594354219
86	0.07592366282
87	0.07585226235
88	0.0757691171
89	0.07569988973
90	0.07564456923
91	0.07562949468
92	0.07556294929
93	0.07554947049
94	0.07550792485
95	0.07549815837
96	0.07548887295
97	0.07544548029
98	0.0753823662
99	0.07531628567
